[2024-08-19 18:06:29] [ERROR] Неожиданное поведение в скрипте: C:\Program Files\GCT\Scripts\vectors.lua
C:\Program Files\GCT\Scripts\vectors.lua:10: bad argument #1 to 'random' (interval is empty)
[2024-08-19 18:12:45] [ERROR] Неожиданное поведение в скрипте: C:\Program Files\GCT\Scripts\vectors.lua
C:\Program Files\GCT\Scripts\vectors.lua:10: bad argument #1 to 'random' (interval is empty)
[2024-08-19 18:21:33] [ERROR] Неожиданное поведение в скрипте: C:\Program Files\GCT\Scripts\vectors.lua
C:\Program Files\GCT\Scripts\vectors.lua:10: bad argument #1 to 'random' (interval is empty)
[2024-08-19 22:25:00] [ERROR] Неожиданное поведение в скрипте: C:\Program Files\GCT\Scripts\vectors.lua
C:\Program Files\GCT\Scripts\vectors.lua:10: bad argument #1 to 'random' (interval is empty)
[2024-08-20 12:56:44] [ERROR] Хэш функции 13928195483908293688 не найден
[2024-08-20 14:45:00] [ERROR] Хэш функции 14695981039346656037 не найден
[2024-08-20 14:56:11] [ERROR] Хэш функции 14695981039346656037 не найден
[2024-08-20 15:01:32] [ERROR] Неожиданное поведение в скрипте: C:\Program Files\GCT\Scripts\vectors.lua
C:\Program Files\GCT\Scripts\vectors.lua:10: bad argument #1 to 'random' (interval is empty)
[2024-08-20 15:04:01] [ERROR] Неожиданное поведение в скрипте: C:\Program Files\GCT\Scripts\vectors.lua
C:\Program Files\GCT\Scripts\vectors.lua:10: bad argument #1 to 'random' (interval is empty)
[2024-08-20 15:22:45] [ERROR] Хэш функции 14695981039346656037 не найден
[2024-08-20 16:23:33] [ERROR] Хэш функции 16121432640008856434 не найден
[2024-08-20 16:41:30] [ERROR] Неожиданное поведение в скрипте: C:\Program Files\GCT\Scripts\vectors.lua
C:\Program Files\GCT\Scripts\vectors.lua:10: bad argument #1 to 'random' (interval is empty)
[2024-08-20 17:29:14] [ERROR] Неожиданное поведение в скрипте: C:\Program Files\GCT\Scripts\vectors.lua
C:\Program Files\GCT\Scripts\vectors.lua:10: bad argument #1 to 'random' (interval is empty)
[2024-08-20 17:46:16] [ERROR] Неожиданное поведение в скрипте: C:\Program Files\GCT\Scripts\vectors.lua
